Tintle,Abstract,Matched Search Term 1,Matched Search Term 2,Matched Search Term 4
" ""Investigating the Challenges of Temporal Relation Extraction from Clinical Text"","," ""temporal reasoning remains as an unsolved task for natural language processing (nlp), particularly demonstrated in the clinical domain. the complexity of temporal representation in language is evident as results of the 2016 clinical tempeval challenge indicate: the current state-of-the-art systems perform well in solving mention-identification tasks of event and time expressions but poorly in temporal relation extraction, showing a gap of around 0.25 point below human performance. we explore to adapt the tree-based lstm-rnn model proposed by miwa and bansal (2016) to temporal relation extraction from clinical text, obtaining a five point improvement over the best 2016 clinical tempeval system and two points over the state-of-the-art. we deliver a deep analysis of the results and discuss the next step towards human-like temporal reasoning."",",clinical domain,natural language process,challeng
" ""Syntax-based Transfer Learning for the Task of Biomedical Relation Extraction"","," ""transfer learning (tl) proposes to enhance machine learning performance on a problem, by reusing labeled data originally designed for a related problem. in particular, domain adaptation consists, for a specific task, in reusing training data developed for the same task but a distinct domain. this is particularly relevant to the applications of deep learning in natural language processing, because those usually require large annotated corpora that may not exist for the targeted domain, but exist for side domains. in this paper, we experiment with tl for the task of relation extraction (re) from biomedical texts, using the treelstm model. we empirically show the impact of treelstm alone and with domain adaptation by obtaining better performances than the state of the art on two biomedical re tasks and equal performances for two others, for which few annotated data are available. furthermore, we propose an analysis of the role that syntactic features may play in tl for re."",",medical text,natural language process,annotat
" ""In-domain Context-aware Token Embeddings Improve Biomedical Named Entity Recognition"","," ""rapidly expanding volume of publications in the biomedical domain makes it increasingly difficult for a timely evaluation of the latest literature. that, along with a push for automated evaluation of clinical reports, present opportunities for effective natural language processing methods. in this study we target the problem of named entity recognition, where texts are processed to annotate terms that are relevant for biomedical studies. terms of interest in the domain include gene and protein names, and cell lines and types. here we report on a pipeline built on embeddings from language models (elmo) and a deep learning package for natural language processing (allennlp). we trained context-aware token embeddings on a dataset of biomedical papers using elmo, and incorporated these embeddings in the lstm-crf model used by allennlp for named entity recognition. we show these representations improve named entity recognition for different types of biomedical named entities. we also achieve a new state of the art in gene mention detection on the biocreative ii gene mention shared task."",",medical domain,natural language process,shared task
" ""Time Expressions in Mental Health Records for Symptom Onset Extraction"","," ""for psychiatric disorders such as schizophrenia, longer durations of untreated psychosis are associated with worse intervention outcomes. data included in electronic health records (ehrs) can be useful for retrospective clinical studies, but much of this is stored as unstructured text which cannot be directly used in computation. natural language processing (nlp) methods can be used to extract this data, in order to identify symptoms and treatments from mental health records, and temporally anchor the first emergence of these. we are developing an ehr corpus annotated with time expressions, clinical entities and their relations, to be used for nlp development. in this study, we focus on the first step, identifying time expressions in ehrs for patients with schizophrenia. we developed a gold standard corpus, compared this corpus to other related corpora in terms of content and time expression prevalence, and adapted two nlp systems for extracting time expressions. to the best of our knowledge, this is the first resource annotated for temporal entities in the mental health domain."",",electronic health record,natural language process,annotat
" ""Evaluation of a Sequence Tagging Tool for Biomedical Texts"","," ""many applications in biomedical natural language processing rely on sequence tagging as an initial step to perform more complex analysis. to support text analysis in the biomedical domain, we introduce yet another sequence tagger (yaset), an open-source multi purpose sequence tagger that implements state-of-the-art deep learning algorithms for sequence tagging. herein, we evaluate yaset on part-of-speech tagging and named entity recognition in a variety of text genres including articles from the biomedical literature in english and clinical narratives in french. to further characterize performance, we report distributions over 30 runs and different sizes of training datasets. yaset provides state-of-the-art performance on the conll 2003 ner dataset (f1",clinical narr,natural language process,evalu
" ""Semantic role labeling tools for biomedical question answering: a study of selected tools on the {B}io{ASQ} datasets"","," ""question answering (qa) systems usually rely on advanced natural language processing components to precisely understand the questions and extract the answers. semantic role labeling (srl) is known to boost performance for qa, but its use for biomedical texts has not yet been fully studied. we analyzed the performance of three srl tools (biokit, biosmile and pathlstm) on 1776 questions from the bioasq challenge. we compared the systems regarding the coverage of the questions and snippets, as well as based on pre-defined criteria, such as easiness of installation, supported formats and usability. finally, we integrated two of the tools in a simple qa system to further evaluate their performance over the official bioasq test sets."",",medical text,natural language process,challeng
" ""{A}ttention{M}e{SH}: Simple, Effective and Interpretable Automatic {M}e{SH} Indexer"","," ""there are millions of articles in pubmed database. to facilitate information retrieval, curators in the national library of medicine (nlm) assign a set of medical subject headings (mesh) to each article. mesh is a hierarchically-organized vocabulary, containing about 28k different concepts, covering the fields from clinical medicine to information sciences. several automatic mesh indexing models have been developed to improve the time-consuming and financially expensive manual annotation, including the nlm official tool {--} medical text indexer, and the winner of bioasq task5a challenge {--} deepmesh. however, these models are complex and not interpretable. we propose a novel end-to-end model, attentionmesh, which utilizes deep learning and attention mechanism to index mesh terms to biomedical text. the attention mechanism enables the model to associate textual evidence with annotations, thus providing interpretability at the word level. the model also uses a novel masking mechanism to enhance accuracy and speed. in the final week of bioasq chanllenge task6a, we ranked 2nd by average mif using an on-construction model. after the contest, we achieve close to state-of-the-art mif performance of ∼ 0.684 using our final model. human evaluations show attentionmesh also provides high level of interpretability, retrieving about 90{\%} of all expert-labeled relevant words given an mesh-article pair at 20 output."",",medical text,information retriev,annotat
" ""The Interplay of Form and Meaning in Complex Medical Terms: Evidence from a Clinical Corpus"","," ""we conduct a corpus study to investigate the structure of multi-word expressions (mwes) in the clinical domain. based on an existing medical taxonomy, we develop an annotation scheme and label a sample of mwes from a dutch corpus with semantic and grammatical features. the analysis of the annotated data shows that the formal structure of clinical mwes correlates with their conceptual properties. the insights gained from this study could inform the design of natural language processing (nlp) systems for clinical writing, but also for other specialized genres."",",clinical domain,natural language process,annotat
" ""Embedding Transfer for Low-Resource Medical Named Entity Recognition: A Case Study on Patient Mobility"","," ""functioning is gaining recognition as an important indicator of global health, but remains under-studied in medical natural language processing research. we present the first analysis of automatically extracting descriptions of patient mobility, using a recently-developed dataset of free text electronic health records. we frame the task as a named entity recognition (ner) problem, and investigate the applicability of ner techniques to mobility extraction. as text corpora focused on patient functioning are scarce, we explore domain adaptation of word embeddings for use in a recurrent neural network ner system. we find that embeddings trained on a small in-domain corpus perform nearly as well as those learned from large out-of-domain corpora, and that domain adaptation techniques yield additional improvements in both precision and recall. our analysis identifies several significant challenges in extracting descriptions of patient mobility, including the length and complexity of annotated entities and high linguistic variability in mobility descriptions."",",electronic health record,natural language process,annotat
" ""Biomedical Event Extraction Using Convolutional Neural Networks and Dependency Parsing"","," ""event and relation extraction are central tasks in biomedical text mining. where relation extraction concerns the detection of semantic connections between pairs of entities, event extraction expands this concept with the addition of trigger words, multiple arguments and nested events, in order to more accurately model the diversity of natural language. in this work we develop a convolutional neural network that can be used for both event and relation extraction. we use a linear representation of the input text, where information is encoded with various vector space embeddings. most notably, we encode the parse graph into this linear space using dependency path embeddings. we integrate our neural network into the open source turku event extraction system (tees) framework. using this system, our machine learning model can be easily applied to a large set of corpora from e.g. the bionlp, ddi extraction and biocreative shared tasks. we evaluate our system on 12 different event, relation and ner corpora, showing good generalizability to many tasks and achieving improved performance on several corpora."",",medical text,natural languag,shared task
" ""On Learning Better Embeddings from {C}hinese Clinical Records: Study on Combining In-Domain and Out-Domain Data"","," ""high quality word embeddings are of great significance to advance applications of biomedical natural language processing. in recent years, a surge of interest on how to learn good embeddings and evaluate embedding quality based on english medical text has become increasing evident, however a limited number of studies based on chinese medical text, particularly chinese clinical records, were performed. herein, we proposed a novel approach of improving the quality of learned embeddings using out-domain data as a supplementary in the case of limited chinese clinical records. moreover, the embedding quality evaluation method was conducted based on medical conceptual similarity property. the experimental results revealed that selecting good training samples was necessary, and collecting right amount of out-domain data and trading off between the quality of embeddings and the training time consumption were essential factors for better embeddings."",",clinical record,natural language process,evalu
" ""Pushing the Limits of Radiology with Joint Modeling of Visual and Textual Information"","," ""recently, there has been increasing interest in the intersection of computer vision and natural language processing. researchers have studied several interesting tasks, including generating text descriptions from images and videos and language embedding of images. more recent work has further extended the scope of this area to combine videos and language, learning to solve non-visual tasks using visual cues, visual question answering, and visual dialog. despite a large body of research on the intersection of vision-language technology, its adaption to the medical domain is not fully explored. to address this research gap, we aim to develop machine learning models that can reason jointly on medical images and clinical text for advanced search, retrieval, annotation and description of medical images."",",medical domain,natural language process,annotat
" ""Generating Continuous Representations of Medical Texts"","," ""we present an architecture that generates medical texts while learning an informative, continuous representation with discriminative features. during training the input to the system is a dataset of captions for medical x-rays. the acquired continuous representations are of particular interest for use in many machine learning techniques where the discrete and high-dimensional nature of textual input is an obstacle. we use an adversarially regularized autoencoder to create realistic text in both an unconditional and conditional setting. we show that this technique is applicable to medical texts which often contain syntactic and domain-specific shorthands. a quantitative evaluation shows that we achieve a lower model perplexity than a traditional lstm generator."",",medical text,generat,evalu
" ""Label-Aware Double Transfer Learning for Cross-Specialty Medical Named Entity Recognition"","," ""we study the problem of named entity recognition (ner) from electronic medical records, which is one of the most fundamental and critical problems for medical text mining. medical records which are written by clinicians from different specialties usually contain quite different terminologies and writing styles. the difference of specialties and the cost of human annotation makes it particularly difficult to train a universal medical ner system. in this paper, we propose a label-aware double transfer learning framework (la-dtl) for cross-specialty ner, so that a medical ner system designed for one specialty could be conveniently applied to another one with minimal annotation efforts. the transferability is guaranteed by two components: (i) we propose label-aware mmd for feature representation transfer, and (ii) we perform parameter transfer with a theoretical upper bound which is also label aware. we conduct extensive experiments on 12 cross-specialty ner tasks. the experimental results demonstrate that la-dtl provides consistent accuracy improvement over strong baselines. besides, the promising experimental results on non-medical ner scenarios indicate that la-dtl is potential to be seamlessly adapted to a wide range of ner tasks."",",medical record,entity recognit,annotat
" ""{C}li{CR}: a Dataset of Clinical Case Reports for Machine Reading Comprehension"","," ""we present a new dataset for machine comprehension in the medical domain. our dataset uses clinical case reports with around 100,000 gap-filling queries about these cases. we apply several baselines and state-of-the-art neural readers to the dataset, and observe a considerable gap in performance (20{\%} f1) between the best human and machine readers. we analyze the skills required for successful answering and show how reader performance varies depending on the applicable skills. we find that inferences using domain knowledge and object tracking are the most frequently required skills, and that recognizing omitted information and spatio-temporal reasoning are the most difficult for the machines."",",medical domain,infer,track
" ""Annotation of a Large Clinical Entity Corpus"","," ""having an entity annotated corpus of the clinical domain is one of the basic requirements for detection of clinical entities using machine learning (ml) approaches. past researches have shown the superiority of statistical/ml approaches over the rule based approaches. but in order to take full advantage of the ml approaches, an accurately annotated corpus becomes an essential requirement. though there are a few annotated corpora available either on a small data set, or covering a narrower domain (like cancer patients records, lab reports), annotation of a large data set representing the entire clinical domain has not been created yet. in this paper, we have described in detail the annotation guidelines, annotation process and our approaches in creating a cer (clinical entity recognition) corpus of 5,160 clinical documents from forty different clinical specialities. the clinical entities range across various types such as diseases, procedures, medications, medical devices and so on. we have classified them into eleven categories for annotation. our annotation also reflects the relations among the group of entities that constitute larger concepts altogether."",",clinical domain,entity recognit,annotat
" ""emr{QA}: A Large Corpus for Question Answering on Electronic Medical Records"","," ""we propose a novel methodology to generate domain-specific large-scale question answering (qa) datasets by re-purposing existing annotations for other nlp tasks. we demonstrate an instance of this methodology in generating a large-scale qa dataset for electronic medical records by leveraging existing expert annotations on clinical notes for various nlp tasks from the community shared i2b2 datasets. the resulting corpus (emrqa) has 1 million questions-logical form and 400,000+ question-answer evidence pairs. we characterize the dataset and explore its learning potential by training baseline models for question to logical form and question to answer mapping."",",medical record,nlp,annotat
" ""Deep Exhaustive Model for Nested Named Entity Recognition"","," ""we propose a simple deep neural model for nested named entity recognition (ner). most ner models focused on flat entities and ignored nested entities, which failed to fully capture underlying semantic information in texts. the key idea of our model is to enumerate all possible regions or spans as potential entity mentions and classify them with deep neural networks. to reduce the computational costs and capture the information of the contexts around the regions, the model represents the regions using the outputs of shared underlying bidirectional long short-term memory. we evaluate our exhaustive model on the genia and jnlpba corpora in biomedical domain, and the results show that our model outperforms state-of-the-art models on nested and flat ner, achieving 77.1{\%} and 78.4{\%} respectively in terms of f-score, without any external knowledge resources."",",medical domain,nlp,evalu
" ""Word-Level Loss Extensions for Neural Temporal Relation Classification"","," ""unsupervised pre-trained word embeddings are used effectively for many tasks in natural language processing to leverage unlabeled textual data. often these embeddings are either used as initializations or as fixed word representations for task-specific classification models. in this work, we extend our classification model{'}s task loss with an unsupervised auxiliary loss on the word-embedding level of the model. this is to ensure that the learned word representations contain both task-specific features, learned from the supervised loss component, and more general features learned from the unsupervised loss component. we evaluate our approach on the task of temporal relation extraction, in particular, narrative containment relation extraction from clinical records, and show that continued training of the embeddings on the unsupervised objective together with the task objective gives better task-specific embeddings, and results in an improvement over the state of the art on the thyme dataset, using only a general-domain part-of-speech tagger as linguistic resource."",",clinical record,natural language process,evalu
" ""{WME} 3.0: An Enhanced and Validated Lexicon of Medical Concepts"","," ""information extraction in the medical domain is laborious and time-consuming due to the insufficient number of domain-specific lexicons and lack of involvement of domain experts such as doctors and medical practitioners. thus, in the present work, we are motivated to design a new lexicon, wme 3.0 (wordnet of medical events), which contains over 10,000 medical concepts along with their part of speech, gloss (descriptive explanations), polarity score, sentiment, similar sentiment words, category, affinity score and gravity score features. in addition, the manual annotators help to validate the overall as well as individual category level of medical concepts of wme 3.0 using cohen{'}s kappa agreement metric. the agreement score indicates almost correct identification of medical concepts and their assigned features in wme 3.0."",",medical domain,sentiment,annotat
" ""Entity-Centric Information Access with Human in the Loop for the Biomedical Domain"","," ""in this paper, we describe the concept of entity-centric information access for the biomedical domain. with entity recognition technologies approaching acceptable levels of accuracy, we put forward a paradigm of document browsing and searching where the entities of the domain and their relations are explicitly modeled to provide users the possibility of collecting exhaustive information on relations of interest. we describe three working prototypes along these lines: new/s/leak, which was developed for investigative journalists who need a quick overview of large leaked document collections; storyfinder, which is a personalized organizer for information found in web pages that allows adding entities as well as relations, and is capable of personalized information management; and adaptive annotation capabilities of webanno, which is a general-purpose linguistic annotation tool. we will discuss future steps towards the adaptation of these tools to biomedical data, which is subject to a recently started project on biomedical knowledge acquisition. a key difference to other approaches is the centering around the user in a human-in-the-loop machine learning approach, where users define and extend categories and enable the system to improve via feedback and interaction."",",medical domain,entity recognit,annotat
" ""{POMELO}: {M}edline corpus with manually annotated food-drug interactions"","," ""when patients take more than one medication, they may be at risk of drug interactions, which means that a given drug can cause unexpected effects when taken in combination with other drugs. similar effects may occur when drugs are taken together with some food or beverages. for instance, grapefruit has interactions with several drugs, because its active ingredients inhibit enzymes involved in the drugs metabolism and can then cause an excessive dosage of these drugs. yet, information on food/drug interactions is poorly researched. the current research is mainly provided by the medical domain and a very tentative work is provided by computer sciences and nlp domains. one factor that motivates the research is related to the availability of the annotated corpora and the reference data. the purpose of our work is to describe the rationale and approach for creation and annotation of scientific corpus with information on food/drug interactions. this corpus contains 639 medline citations (titles and abstracts), corresponding to 5,752 sentences. it is manually annotated by two experts. the corpus is named pomelo. this annotated corpus will be made available for the research purposes."",",medical domain,nlp,annotat
" ""Proceedings of the Workshop Human-Informed Translation and Interpreting Technology"","," ""in this paper we describe annotation process of clinical texts with morphosyntactic and semantic information. the corpus contains 1,300 discharge letters in bulgarian language for patients with endocrinology and metabolic disorders. the annotated corpus will be used as a gold standard for information extraction evaluation of test corpus of 6,200 discharge letters. the annotation is performed within clark system {---} an xml based system for corpora development. it provides mechanism for semi-automatic annotation first running a pipeline for bulgarian morphosyntactic annotation and a cascaded regular grammar for semantic annotation is run, then rules for cleaning of frequent errors are applied. at the end the result is manually checked. at the end we hope also to be able to adapted the morphosyntactic tagger to the domain of clinical narratives as well."",",clinical narr,semant,annotat
" ""A Method to Generate a Machine-Labeled Data for Biomedical Named Entity Recognition with Various Sub-Domains"","," ""biomedical named entity (ne) recognition is a core technique for various works in the biomedical domain. in previous studies, using machine learning algorithm shows better performance than dictionary-based and rule-based approaches because there are too many terminological variations of biomedical nes and new biomedical nes are constantly generated. to achieve the high performance with a machine-learning algorithm, good-quality corpora are required. however, it is difficult to obtain the good-quality corpora because an-notating a biomedical corpus for ma-chine-learning is extremely time-consuming and costly. in addition, most previous corpora are insufficient for high-level tasks because they cannot cover various domains. therefore, we propose a method for generating a large amount of machine-labeled data that covers various domains. to generate a large amount of machine-labeled data, firstly we generate an initial machine-labeled data by using a chunker and metamap. the chunker is developed to extract only biomedical nes with manually annotated data. metamap is used to annotate the category of bio-medical ne. then we apply the self-training approach to bootstrap the performance of initial machine-labeled data. in our experiments, the biomedical ne recognition system that is trained with our proposed machine-labeled data achieves much high performance. as a result, our system outperforms biomedical ne recognition system that using metamap only with 26.03{\%}p improvements on f1-score."",",medical domain,generat,annotat
" ""A parallel collection of clinical trials in {P}ortuguese and {E}nglish"","," ""parallel collections of documents are crucial resources for training and evaluating machine translation (mt) systems. even though large collections are available for certain domains and language pairs, these are still scarce in the biomedical domain. we developed a parallel corpus of clinical trials in portuguese and english. the documents are derived from the brazilian clinical trials registry and the corpus currently contains a total of 1188 documents. in this paper, we describe the corpus construction and discuss the quality of the translation and the sentence alignment that we obtained."",",medical domain,translat,evalu
" ""Insights into Analogy Completion from the Biomedical Domain"","," ""analogy completion has been a popular task in recent years for evaluating the semantic properties of word embeddings, but the standard methodology makes a number of assumptions about analogies that do not always hold, either in recent benchmark datasets or when expanding into other domains. through an analysis of analogies in the biomedical domain, we identify three assumptions: that of a single answer for any given analogy, that the pairs involved describe the same relationship, and that each pair is informative with respect to the other. we propose modifying the standard methodology to relax these assumptions by allowing for multiple correct answers, reporting map and mrr in addition to accuracy, and using multiple example pairs. we further present bmass, a novel dataset for evaluating linguistic regularities in biomedical embeddings, and demonstrate that the relationships described in the dataset pose significant semantic challenges to current word embedding methods."",",medical domain,semant,challeng
" ""Results of the fifth edition of the {B}io{ASQ} Challenge"","," ""the goal of the bioasq challenge is to engage researchers into creating cuttingedge biomedical information systems. specifically, it aims at the promotion of systems and methodologies that are able to deal with a plethora of different tasks in the biomedical domain. this is achieved through the organization of challenges. the fifth challenge consisted of three tasks: semantic indexing, question answering and a new task on information extraction. in total, 29 teams with more than 95 systems participated in the challenge. overall, as in previous years, the best systems were able to outperform the strong baselines. this suggests that state-of-the art systems are continuously improving, pushing the frontier of research."",",medical domain,semant,challeng
" ""Role-Preserving Redaction of Medical Records to Enable Ontology-Driven Processing"","," ""electronic medical records (emr) have largely replaced hand-written patient files in healthcare. the growing pool of emr data presents a significant resource in medical research, but the u.s. health insurance portability and accountability act (hipaa) mandates redacting medical records before performing any analysis on the same. this process complicates obtaining medical data and can remove much useful information from the record. as part of a larger project involving ontology-driven medical processing, we employ a method of recognizing protected health information (phi) that maps to ontological terms. we then use the relationships defined in the ontology to redact medical texts so that roles and semantics of terms are retained without compromising anonymity. the method is evaluated by clinical experts on several hundred medical documents, achieving up to a 98.8{\%} f-score, and has already shown promise for retaining semantic information in later processing."",",medical record,semant,evalu
" ""Toward Automated Early Sepsis Alerting: Identifying Infection Patients from Nursing Notes"","," ""severe sepsis and septic shock are conditions that affect millions of patients and have close to 50{\%} mortality rate. early identification of at-risk patients significantly improves outcomes. electronic surveillance tools have been developed to monitor structured electronic medical records and automatically recognize early signs of sepsis. however, many sepsis risk factors (e.g. symptoms and signs of infection) are often captured only in free text clinical notes. in this study, we developed a method for automatic monitoring of nursing notes for signs and symptoms of infection. we utilized a creative approach to automatically generate an annotated dataset. the dataset was used to create a machine learning model that achieved an f1-score ranging from 79 to 96{\%}."",",medical record,generat,annotat
" ""A Biomedical Question Answering System in {B}io{ASQ} 2017"","," ""question answering, the identification of short accurate answers to users questions, is a longstanding challenge widely studied over the last decades in the open domain. however, it still requires further efforts in the biomedical domain. in this paper, we describe our participation in phase b of task 5b in the 2017 bioasq challenge using our biomedical question answering system. our system, dealing with four types of questions (i.e., yes/no, factoid, list, and summary), is based on (1) a dictionary-based approach for generating the exact answers of yes/no questions, (2) umls metathesaurus and term frequency metric for extracting the exact answers of factoid and list questions, and (3) the bm25 model and umls concepts for retrieving the ideal answers (i.e., paragraph-sized summaries). preliminary results show that our system achieves good and competitive results in both exact and ideal answers extraction tasks as compared with the participating systems."",",medical domain,generat,challeng
" ""Automatic classification of doctor-patient questions for a virtual patient record query task"","," ""we present the work-in-progress of automating the classification of doctor-patient questions in the context of a simulated consultation with a virtual patient. we classify questions according to the computational strategy (rule-based or other) needed for looking up data in the clinical record. we compare {`}traditional{'} machine learning methods (gaussian and multinomial naive bayes, and support vector machines) and a neural network classifier (fasttext). we obtained the best results with the svm using semantic annotations, whereas the neural classifier achieved promising results without it."",",clinical record,semant,annotat
" ""Detecting mentions of pain and acute confusion in {F}innish clinical text"","," ""we study and compare two different approaches to the task of automatic assignment of predefined classes to clinical free-text narratives. in the first approach this is treated as a traditional mention-level named-entity recognition task, while the second approach treats it as a sentence-level multi-label classification task. performance comparison across these two approaches is conducted in the form of sentence-level evaluation and state-of-the-art methods for both approaches are evaluated. the experiments are done on two data sets consisting of finnish clinical text, manually annotated with respect to the topics pain and acute confusion. our results suggest that the mention-level named-entity recognition approach outperforms sentence-level classification overall, but the latter approach still manages to achieve the best prediction scores on several annotation classes."",",clinical text,entity recognit,annotat
" ""Annotation of negation in the {IULA} {S}panish Clinical Record Corpus"","," ""this paper presents the iula spanish clinical record corpus, a corpus of 3,194 sentences extracted from anonymized clinical records and manually annotated with negation markers and their scope. the corpus was conceived as a resource to support clinical text-mining systems, but it is also a useful resource for other natural language processing systems handling clinical texts: automatic encoding of clinical records, diagnosis support, term extraction, among others, as well as for the study of clinical texts. the corpus is publicly available with a cc-by-sa 3.0 license."",",clinical record,natural language process,annotat
" ""{S}em{E}val-2017 Task 9: {A}bstract {M}eaning {R}epresentation Parsing and Generation"","," ""in this report we summarize the results of the 2017 amr semeval shared task. the task consisted of two separate yet related subtasks. in the parsing subtask, participants were asked to produce abstract meaning representation (amr) (banarescu et al., 2013) graphs for a set of english sentences in the biomedical domain. in the generation subtask, participants were asked to generate english sentences given amr graphs in the news/forum domain. a total of five sites participated in the parsing subtask, and four participated in the generation subtask. along with a description of the task and the participants{'} systems, we show various score ablations and some sample outputs."",",medical domain,generat,shared task
" ""{XJNLP} at {S}em{E}val-2017 Task 12: Clinical temporal information ex-traction with a Hybrid Model"","," ""temporality is crucial in understanding the course of clinical events from a patient{'}s electronic health recordsand temporal processing is becoming more and more important for improving access to content. semeval 2017 task 12 (clinical tempeval) addressed this challenge using the thyme corpus, a corpus of clinical narratives annotated with a schema based on timeml2 guidelines. we developed and evaluated approaches for: extraction of temporal expressions (timex3) and events; event attributes; document-time relations. our approach is a hybrid model which is based on rule based methods, semi-supervised learning, and semantic features with addition of manually crafted rules."",",electronic health record,semant,annotat
" ""Bootstrapping a {R}omanian Corpus for Medical Named Entity Recognition"","," ""named entity recognition (ner) is an important component of natural language processing (nlp), with applicability in biomedical domain, enabling knowledge-discovery from medical texts. due to the fact that for the romanian language there are only a few linguistic resources specific to the biomedical domain, it was created a sub-corpus specific to this domain. in this paper we present a newly developed romanian sub-corpus for medical-domain ner, which is a valuable asset for the field of biomedical text processing. we provide a description of the sub-corpus, informative statistics about data-composition and we evaluate an automatic ner tool on the newly created resource."",",medical domain,natural language process,evalu
" ""Learning local and global contexts using a convolutional recurrent network model for relation classification in biomedical text"","," ""the task of relation classification in the biomedical domain is complex due to the presence of samples obtained from heterogeneous sources such as research articles, discharge summaries, or electronic health records. it is also a constraint for classifiers which employ manual feature engineering. in this paper, we propose a convolutional recurrent neural network (crnn) architecture that combines rnns and cnns in sequence to solve this problem. the rationale behind our approach is that cnns can effectively identify coarse-grained local features in a sentence, while rnns are more suited for long-term dependencies. we compare our crnn model with several baselines on two biomedical datasets, namely the i2b2-2010 clinical relation extraction challenge dataset, and the semeval-2013 ddi extraction dataset. we also evaluate an attentive pooling technique and report its performance in comparison with the conventional max pooling method. our results indicate that the proposed model achieves state-of-the-art performance on both datasets."",",electronic health record,relation extract,challeng
" ""Predicting Counselor Behaviors in Motivational Interviewing Encounters"","," ""as the number of people receiving psycho-therapeutic treatment increases, the automatic evaluation of counseling practice arises as an important challenge in the clinical domain. in this paper, we address the automatic evaluation of counseling performance by analyzing counselors{'} language during their interaction with clients. in particular, we present a model towards the automation of motivational interviewing (mi) coding, which is the current gold standard to evaluate mi counseling. first, we build a dataset of hand labeled mi encounters; second, we use text-based methods to extract and analyze linguistic patterns associated with counselor behaviors; and third, we develop an automatic system to predict these behaviors. we introduce a new set of features based on semantic information and syntactic patterns, and show that they lead to accuracy figures of up to 90{\%}, which represent a significant improvement with respect to features used in the past."",",clinical domain,semant,challeng
" ""An Insight Extraction System on {B}io{M}edical Literature with Deep Neural Networks"","," ""mining biomedical text offers an opportunity to automatically discover important facts and infer associations among them. as new scientific findings appear across a large collection of biomedical publications, our aim is to tap into this literature to automate biomedical knowledge extraction and identify important insights from them. towards that goal, we develop a system with novel deep neural networks to extract insights on biomedical literature. evaluation shows our system is able to provide insights with competitive accuracy of human acceptance and its relation extraction component outperforms previous work."",",medical text,infer,evalu
" ""Cancer Hallmark Text Classification Using Convolutional Neural Networks"","," ""methods based on deep learning approaches have recently achieved state-of-the-art performance in a range of machine learning tasks and are increasingly applied to natural language processing (nlp). despite strong results in various established nlp tasks involving general domain texts, there is only limited work applying these models to biomedical nlp. in this paper, we consider a convolutional neural network (cnn) approach to biomedical text classification. evaluation using a recently introduced cancer domain dataset involving the categorization of documents according to the well-established hallmarks of cancer shows that a basic cnn model can achieve a level of performance competitive with a support vector machine (svm) trained using complex manually engineered features optimized to the task. we further show that simple modifications to the cnn hyperparameters, initialization, and training process allow the model to notably outperform the svm, establishing a new state of the art result at this task. we make all of the resources and tools introduced in this study available under open licenses from \url{https://cambridgeltl.github.io/cancer-hallmark-cnn/}."",",medical text,natural language process,evalu
" ""Learning Orthographic Features in Bi-directional {LSTM} for Biomedical Named Entity Recognition"","," ""end-to-end neural network models for named entity recognition (ner) have shown to achieve effective performances on general domain datasets (e.g. newswire), without requiring additional hand-crafted features. however, in biomedical domain, recent studies have shown that hand-engineered features (e.g. orthographic features) should be used to attain effective performance, due to the complexity of biomedical terminology (e.g. the use of acronyms and complex gene names). in this work, we propose a novel approach that allows a neural network model based on a long short-term memory (lstm) to automatically learn orthographic features and incorporate them into a model for biomedical ner. importantly, our bi-directional lstm model learns and leverages orthographic features on an end-to-end basis. we evaluate our approach by comparing against existing neural network models for ner using three well-established biomedical datasets. our experimental results show that the proposed approach consistently outperforms these strong baselines across all of the three datasets."",",medical domain,entity recognit,evalu
" ""Named Entity Recognition in {S}wedish Health Records with Character-Based Deep Bidirectional {LSTM}s"","," ""we propose an approach for named entity recognition in medical data, using a character-based deep bidirectional recurrent neural network. such models can learn features and patterns based on the character sequence, and are not limited to a fixed vocabulary. this makes them very well suited for the ner task in the medical domain. our experimental evaluation shows promising results, with a 60{\%} improvement in f 1 score over the baseline, and our system generalizes well between different datasets."",",medical domain,entity recognit,evalu
" ""Fully unsupervised low-dimensional representation of adverse drug reaction events through distributional semantics"","," ""electronic health records show great variability since the same concept is often expressed with different terms, either scientific latin forms, common or lay variants and even vernacular naming. deep learning enables distributional representation of terms in a vector-space, and therefore, related terms tend to be close in the vector space. accordingly, embedding words through these vectors opens the way towards accounting for semantic relatedness through classical algebraic operations. in this work we propose a simple though efficient unsupervised characterization of adverse drug reactions (adrs). this approach exploits the embedding representation of the terms involved in candidate adr events, that is, drug-disease entity pairs. in brief, the adrs are represented as vectors that link the drug with the disease in their context through a recursive additive model. we discovered that a low-dimensional representation that makes use of the modulus and argument of the embedded representation of the adr event shows correlation with the manually annotated class. thus, it can be derived that this characterization results in to be beneficial for further classification tasks as predictive features."",",electronic health record,semant,annotat
